Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D6, D7, D8, D9",Diode_DO-35,56,Diode,
"D100, D101, D102, D103, D104, D105, D106, D107, D108, D109, D110, D111, D112, D57, D58, D59, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,56,SK6812MINI,
R1,0805,1,Resistor,
"S1, S10, S13, S14, S15, S16, S17, S18, S19, S2, S20, S21, S22, S26, S27, S28, S29, S3, S30, S31, S32, S33, S34, S35, S38, S39, S4, S40, S41, S42, S43, S44, S45, S46, S47, S48, S49, S5, S50, S51, S52, S54, S55, S56, S6, S7, S8, S9",Hotswap_MX_1.00u,48,Keyswitch,
S11,Hotswap_MX_2.00u,1,Keyswitch,
S12,Hotswap_MX_1.50u,1,Keyswitch,
"S23, S24",Hotswap_MX_1.25u,2,Keyswitch,
S25,Hotswap_MX_1.75u,1,Keyswitch,
"S36, S37",Hotswap_MX_2.25u,2,Keyswitch,
S53,Hotswap_MX_6.25u,1,Keyswitch,
"SW1, SW2",RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,2,RotaryEncoder_Switch,
U1,Raspberry_Pi_Pico,1,Raspberry_Pi_Pico_2W,
U2,TM1637 Display Module,1,TM1637_Module,
